Tue Oct  1 00:59:29 EDT 2019
request station: TA  435B * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  833A * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  833A * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  833A * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A04D * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A04D * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A04D * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A36M * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A36M * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  A36M * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  ABTX * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  ABTX * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
request station: TA  ABTX * 2014-03-16T00:00:00.000000Z 2014-03-17T00:00:00.000000Z
downloading step takes 1983.27 s
[0mrun with np=2
request station: TA  109C * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  109C * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  109C * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  109C * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  109C * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  109C * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  121A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  121A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  121A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  121A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  121A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  121A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  157A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  157A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  157A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  157A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  157A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  157A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  158A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  158A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  158A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  158A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  158A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  158A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  214A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  214A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  214A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  214A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  214A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  214A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  435B * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  435B * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  435B * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  435B * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  435B * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  435B * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  833A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  833A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  833A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  833A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  833A * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  833A * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  A04D * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A04D * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  A04D * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A04D * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  A04D * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A04D * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  A36M * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A36M * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A36M * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  A36M * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A36M * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  ABTX * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  A36M * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  ABTX * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  ABTX * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  ABTX * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  ABTX * 2014-03-01T00:00:00.000000Z 2014-03-02T00:00:00.000000Z
request station: TA  109C * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  ABTX * 2014-03-02T00:00:00.000000Z 2014-03-03T00:00:00.000000Z
request station: TA  109C * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  109C * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  109C * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  109C * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  109C * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  121A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  121A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  121A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  121A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  121A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  157A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  121A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  157A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  157A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  157A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  157A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  157A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  158A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  158A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  158A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  158A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  158A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  158A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  214A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  214A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  214A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  214A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  214A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  214A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  435B * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  435B * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  435B * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  435B * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  435B * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  833A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  435B * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  833A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  833A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  833A * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  833A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A04D * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  833A * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A04D * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A04D * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A04D * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A04D * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A36M * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A04D * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A36M * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A36M * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  A36M * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A36M * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  ABTX * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  A36M * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  ABTX * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  ABTX * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  ABTX * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  ABTX * 2014-03-03T00:00:00.000000Z 2014-03-04T00:00:00.000000Z
request station: TA  ABTX * 2014-03-04T00:00:00.000000Z 2014-03-05T00:00:00.000000Z
request station: TA  109C * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  109C * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  109C * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  109C * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  109C * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  109C * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  121A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  121A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  121A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  121A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  121A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  121A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  157A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  157A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  157A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  157A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  157A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  157A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  158A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  158A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  158A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  158A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  158A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  158A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  214A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  214A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  214A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  214A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  214A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  214A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  435B * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  435B * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  435B * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  435B * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  435B * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  833A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  435B * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  833A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  833A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  833A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  833A * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  833A * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A04D * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A04D * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A04D * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A04D * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A04D * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A04D * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A36M * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A36M * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A36M * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A36M * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  A36M * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  A36M * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  ABTX * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  ABTX * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  ABTX * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  ABTX * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  ABTX * 2014-03-05T00:00:00.000000Z 2014-03-06T00:00:00.000000Z
request station: TA  ABTX * 2014-03-06T00:00:00.000000Z 2014-03-07T00:00:00.000000Z
request station: TA  109C * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  109C * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  109C * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  109C * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  109C * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  109C * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  121A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  121A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  121A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  121A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  121A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  121A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  157A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  157A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  157A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  157A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  157A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  157A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  158A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  158A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  158A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  158A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  158A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  158A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  214A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  214A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  214A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  214A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  214A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  214A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  435B * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  435B * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  435B * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  435B * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  435B * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  435B * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  833A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  833A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  833A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  833A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
request station: TA  833A * 2014-03-08T00:00:00.000000Z 2014-03-09T00:00:00.000000Z
request station: TA  833A * 2014-03-07T00:00:00.000000Z 2014-03-08T00:00:00.000000Z
